Job Title,Company,Location,Description,Skills
Cyber Security Project Manager,,London,"6 month contract
£575-650 per day
Inside IR35
Remote with occasional trips to London.
Lead large-scale, cross-functional projects, driving them to successful completion on time and within budget.
Develop and maintain detailed project plans, track progress, and mitigate risks.
Collaborate with internal teams (IT, Risk, Compliance) to ensure seamless project delivery.
Communicate project status to senior leadership and ensure alignment with organizational goals.
Drive continuous improvement in cyber security processes and foster a security-aware culture.
Strong background in project management, with proven experience leading large-scale cyber security projects.
Experience with DLP systems and SOC Maturity programs and other cyber projects.
Solid understanding of cyber security principles and technologies.
Experience in complex, global enterprise environments.
Familiarity with industry standards and frameworks.
Excellent leadership, communication, and problem-solving skills.
Experience with enterprise-level security tools and compliance-driven environments.","6 month contract, £575-650 per day, Inside IR35, Remote with occasional trips to London., Lead large-scale, cross-functional projects, driving them to successful completion on time and within budget., Develop and maintain detailed project plans, track progress, and mitigate risks., Collaborate with internal teams (IT, Risk, Compliance) to ensure seamless project delivery., Communicate project status to senior leadership and ensure alignment with organizational goals., Drive continuous improvement in cyber security processes and foster a security-aware culture., Strong background in project management, with proven experience leading large-scale cyber security projects., Experience with DLP systems and SOC Maturity programs and other cyber projects., Solid understanding of cyber security principles and technologies., Experience in complex, global enterprise environments., Familiarity with industry standards and frameworks., Excellent leadership, communication, and problem-solving skills., Experience with enterprise-level security tools and compliance-driven environments."
Cyber Security Engineer,,UK,"3+ years’ experience in a Cyber Security role
Extensive experience with cloud security and DevSecops framework
A background working with various AWS services and an understanding of how they interact with security technologies
Extensive knowledge of security principles, network protocols and cryptography
Extensive experience with Physical and virtual firewalls as well as core network security technologies. (Zscaler, VPCs, IDS/IPS)
Good understanding of security standards and frameworks.
Good understanding of scripting, automation and monitoring tools (SIEM)","3+ years’ experience in a Cyber Security role, Extensive experience with cloud security and DevSecops framework, A background working with various AWS services and an understanding of how they interact with security technologies, Extensive knowledge of security principles, network protocols and cryptography, Extensive experience with Physical and virtual firewalls as well as core network security technologies. (Zscaler, VPCs, IDS/IPS), Good understanding of security standards and frameworks., Good understanding of scripting, automation and monitoring tools (SIEM)"
Cyber Security Engineer,,Glasgow,"Vast experiene in the deployment and confiugration of SIEM toolings particularly SPLUNK
Strong understanding of how to utilise SOAR platforms, ideally LogRhythm or Fortinet
Undersranding of securing and extending the CI/CD pipelines
Proven history working with and dealing with clients to enhance their cyber security capabilities
Strong understanding of firewalls","Vast experiene in the deployment and confiugration of SIEM toolings particularly SPLUNK, Strong understanding of how to utilise SOAR platforms, ideally LogRhythm or Fortinet, Undersranding of securing and extending the CI/CD pipelines, Proven history working with and dealing with clients to enhance their cyber security capabilities, Strong understanding of firewalls"
Cyber Security Analyst - 6 Month Contract,,London,"Respond to alerts and requests as part of a security operations team and ticketing system
Carry out regular proactive security health checks and follow up on any anomalies
Respond to alerts escalated from our 24/7 SOC
Provide technical support during security incidents
Liaise with IT Service Desk and Operations teams to ensure Security Operations are effectively embedded and maintained
Research threats and vulnerabilities making recommendations to reduce risk
Monitoring of dashboards and responding to any alerts and suspicious activity/behaviour
Support and deliver cyber awareness initiatives across SSP, including phishing simulations and relevant training
Experience in security operations, covering global businesses
Hands-on experience in incident response, triage, and investigation
Cloud platform experience, particularly Azure and Entra ID.
Strong knowledge of SIEM, EDR, vulnerability management and threat intelligence platforms
Knowledge of security frameworks (e.g., Mitre ATT&CK, NIST CSF, ISO 27001, CIS Controls
Self-motivated, proactive problem-solver with a strategic mindset","Respond to alerts and requests as part of a security operations team and ticketing system, Carry out regular proactive security health checks and follow up on any anomalies, Respond to alerts escalated from our 24/7 SOC, Provide technical support during security incidents, Liaise with IT Service Desk and Operations teams to ensure Security Operations are effectively embedded and maintained, Research threats and vulnerabilities making recommendations to reduce risk, Monitoring of dashboards and responding to any alerts and suspicious activity/behaviour, Support and deliver cyber awareness initiatives across SSP, including phishing simulations and relevant training, Experience in security operations, covering global businesses, Hands-on experience in incident response, triage, and investigation, Cloud platform experience, particularly Azure and Entra ID., Strong knowledge of SIEM, EDR, vulnerability management and threat intelligence platforms, Knowledge of security frameworks (e.g., Mitre ATT&CK, NIST CSF, ISO 27001, CIS Controls, Self-motivated, proactive problem-solver with a strategic mindset"
IT Project Manager - Cyber Security,,CF1,"Lead IT projects, ensuring timely and budget-compliant delivery.
Align business requirements with solutions.
Manage external tender processes.
Shape project business cases, including summaries, costs, risks, timelines, and financial forecasts.
Implement project management, controlling delivery to contractual agreements, and managing stakeholders and suppliers.
Previous IT delivery experience in project and portfolio management.
Expertise in project implementation and financial ownership.
Strong contractual and commercial awareness.
Proficiency in process and governance design and implementation.
Skilled in vendor and customer management.
Excellent problem-solving, flexibility, teamwork, and communication skills.
Degree-level education.
Prince 2 Practitioner or equivalent project management qualification (highly desirable).
ITIL experience/qualification (desirable).
Hybrid working
25 days holiday + bank holidays
10% employer pension contribution
Annual Salary reviews
Dedicated learning and development programmes
Free parking, cycle to work scheme
Life Insurance - 14x salary","Lead IT projects, ensuring timely and budget-compliant delivery., Align business requirements with solutions., Manage external tender processes., Shape project business cases, including summaries, costs, risks, timelines, and financial forecasts., Implement project management, controlling delivery to contractual agreements, and managing stakeholders and suppliers., Previous IT delivery experience in project and portfolio management., Expertise in project implementation and financial ownership., Strong contractual and commercial awareness., Proficiency in process and governance design and implementation., Skilled in vendor and customer management., Excellent problem-solving, flexibility, teamwork, and communication skills., Degree-level education., Prince 2 Practitioner or equivalent project management qualification (highly desirable)., ITIL experience/qualification (desirable)., Hybrid working, 25 days holiday + bank holidays, 10% employer pension contribution, Annual Salary reviews, Dedicated learning and development programmes, Free parking, cycle to work scheme, Life Insurance - 14x salary"
Global Cyber Security Manager,,London,"Location: Hybrid (London 3 days, Remote 2 days)
Job Type: Full-time
Salary: Competitive gross pay circa £80,000 + annual performance bonus of 10% of base salary
Strategy and Roadmap Responsibilities:
Own the development, implementation, monitoring, and communication of the cybersecurity strategy and roadmap.
Ensure project-defined deliverables are provided on time and have been quality reviewed.
Work with key stakeholders across the organisation to align the cybersecurity program with business objectives.
Lead a team of cybersecurity professionals to secure company networks, systems, and data.
Own the development, implementation, monitoring, and communication of the cybersecurity strategy and roadmap.
Ensure project-defined deliverables are provided on time and have been quality reviewed.
Work with key stakeholders across the organisation to align the cybersecurity program with business objectives.
Lead a team of cybersecurity professionals to secure company networks, systems, and data.
Protection Responsibilities:
Design, implement, and maintain cybersecurity policies and procedures.
Establish processes for vulnerability assessment and penetration testing.
Monitor and audit compliance of cybersecurity policies to identify gaps.
Oversee security activities including access control, incident management, response, and reporting.
Ensure compliance with security standards and mitigate risks.
Protect the company's digital assets from current and emerging threats.
Design, implement, and maintain cybersecurity policies and procedures.
Establish processes for vulnerability assessment and penetration testing.
Monitor and audit compliance of cybersecurity policies to identify gaps.
Oversee security activities including access control, incident management, response, and reporting.
Ensure compliance with security standards and mitigate risks.
Protect the company's digital assets from current and emerging threats.
BS or MA in computer science, information security, cybersecurity, or a related field.
3-5+ years of experience in cybersecurity, IT audit, or enterprise risk management (ERM).
Familiarity with regulatory compliance and information security management frameworks (e.g., ISO 27001, COBIT, NIST 800).
Experience in program and project management and cybersecurity strategy planning.
Proficiency in cybersecurity technologies and systems, such as firewalls, intrusion detection systems, and SIEM systems.
Desirable certifications: CISSP, CISA, CISM.
Generous health and life insurance.
Annual holidays and tax-saving pension contributions.
Opportunity to work in a dynamic, innovative environment with a strong emphasis on personal and professional growth.","Location: Hybrid (London 3 days, Remote 2 days), Job Type: Full-time, Salary: Competitive gross pay circa £80,000 + annual performance bonus of 10% of base salary, Strategy and Roadmap Responsibilities:
Own the development, implementation, monitoring, and communication of the cybersecurity strategy and roadmap.
Ensure project-defined deliverables are provided on time and have been quality reviewed.
Work with key stakeholders across the organisation to align the cybersecurity program with business objectives.
Lead a team of cybersecurity professionals to secure company networks, systems, and data., Own the development, implementation, monitoring, and communication of the cybersecurity strategy and roadmap., Ensure project-defined deliverables are provided on time and have been quality reviewed., Work with key stakeholders across the organisation to align the cybersecurity program with business objectives., Lead a team of cybersecurity professionals to secure company networks, systems, and data., Protection Responsibilities:
Design, implement, and maintain cybersecurity policies and procedures.
Establish processes for vulnerability assessment and penetration testing.
Monitor and audit compliance of cybersecurity policies to identify gaps.
Oversee security activities including access control, incident management, response, and reporting.
Ensure compliance with security standards and mitigate risks.
Protect the company's digital assets from current and emerging threats., Design, implement, and maintain cybersecurity policies and procedures., Establish processes for vulnerability assessment and penetration testing., Monitor and audit compliance of cybersecurity policies to identify gaps., Oversee security activities including access control, incident management, response, and reporting., Ensure compliance with security standards and mitigate risks., Protect the company's digital assets from current and emerging threats., BS or MA in computer science, information security, cybersecurity, or a related field., 3-5+ years of experience in cybersecurity, IT audit, or enterprise risk management (ERM)., Familiarity with regulatory compliance and information security management frameworks (e.g., ISO 27001, COBIT, NIST 800)., Experience in program and project management and cybersecurity strategy planning., Proficiency in cybersecurity technologies and systems, such as firewalls, intrusion detection systems, and SIEM systems., Desirable certifications: CISSP, CISA, CISM., Generous health and life insurance., Annual holidays and tax-saving pension contributions., Opportunity to work in a dynamic, innovative environment with a strong emphasis on personal and professional growth."
Cyber Security Engineer,,The City,"Previous experience within a similar role is vital for this position
Must have worked with the NHS’s DSPT (Data Security Protection Toolkit)
Experience of working either within a Cyber Essentials Plus environment, or helping a business secure Cyber Essentials plus certification
Extensive IT Infrastructure background and support
Strong MS Azure experience
Experience of O365 (full Suite)
SharePoint
Identification of Risks within Cyber Security
Supporting the Head of IT in identifying new and advancing technologies that could help bolster and improve systems already in operation.
Providing the business on improvements and innovations and drive forward change management.
Ensuring that collaboration between teams is exercised and the correct involvement by the teams is established.
Gaining knowledge and understanding of the business to best capture the requirements of the business
Ensuring the correct technology is used when developing and changing systems
Ensuring that all systems are efficient and effective, reviewing the current process to understand if there are better ways to complete a task.
Building reports and provide regular updates to the Head of IT, regarding performance and Cyber Security Risks
Providing support on the procurement process for IT equipment, raising Purchase Orders and liaising with suppliers.
Monitoring the Azure alerts and inform the Head of IT of any potential incidents.","Previous experience within a similar role is vital for this position, Must have worked with the NHS’s DSPT (Data Security Protection Toolkit), Experience of working either within a Cyber Essentials Plus environment, or helping a business secure Cyber Essentials plus certification, Extensive IT Infrastructure background and support, Strong MS Azure experience, Experience of O365 (full Suite), SharePoint, Identification of Risks within Cyber Security, Supporting the Head of IT in identifying new and advancing technologies that could help bolster and improve systems already in operation., Providing the business on improvements and innovations and drive forward change management., Ensuring that collaboration between teams is exercised and the correct involvement by the teams is established., Gaining knowledge and understanding of the business to best capture the requirements of the business, Ensuring the correct technology is used when developing and changing systems, Ensuring that all systems are efficient and effective, reviewing the current process to understand if there are better ways to complete a task., Building reports and provide regular updates to the Head of IT, regarding performance and Cyber Security Risks, Providing support on the procurement process for IT equipment, raising Purchase Orders and liaising with suppliers., Monitoring the Azure alerts and inform the Head of IT of any potential incidents."
N/A,N/A,N/A,,
Cyber Security Engineer - Senior,,Lord's Hill,"A recognised information governance or data security qualification
At least 3 years' experience in a similar role
Familiarity with frameworks and standards like ISO, MCSS and NCSC
Demonstrate effective collaboration skills with stakeholders and other IT professionals
Excellent communication and interpersonal skills
Great problem-solving and decision-making abilities
Able to identify risks and potential vulnerabilities
A thorough understanding of IP networking, modern infrastructure management, Microsoft cloud technologies and hybrid architectures
Ongoing training and support
Company Profit Share (first £3,600 is tax free)
22 days annual leave plus bank holiday (increasing with length of service)
Additional paid leave for your Birthday
Company performance-based additional paid leave
Company sick pay policy
Pension Scheme
Private Medical Insurance (including dental)
Free Parking
Hybrid Working
Progression opportunities
Fresh fruit, occasional pizza and a posh coffee machine!","A recognised information governance or data security qualification, At least 3 years' experience in a similar role, Familiarity with frameworks and standards like ISO, MCSS and NCSC, Demonstrate effective collaboration skills with stakeholders and other IT professionals, Excellent communication and interpersonal skills, Great problem-solving and decision-making abilities, Able to identify risks and potential vulnerabilities, A thorough understanding of IP networking, modern infrastructure management, Microsoft cloud technologies and hybrid architectures, Ongoing training and support, Company Profit Share (first £3,600 is tax free), 22 days annual leave plus bank holiday (increasing with length of service), Additional paid leave for your Birthday, Company performance-based additional paid leave, Company sick pay policy, Pension Scheme, Private Medical Insurance (including dental), Free Parking, Hybrid Working, Progression opportunities, Fresh fruit, occasional pizza and a posh coffee machine!"
"Cyber Security Engineer, COR7186A",,London,"25 days holiday
Pension
Flexible working/working from home
Amazing opportunities for training and progression
Prior commercial experience as a Cyber Security Engineer or Cyber Security Analyst, ideally within a similar SME-sized organisation
Hands-on experience in the management of IDS/IPS, Firewalls, VPN, EDR/XDR, mail filtering and other security products
Experience of Security Information Event Management (SIEM) tools
Any experience or knowledge of ISO27001 as well as with penetration testing/vulnerability scanning would be highly advantageous","25 days holiday, Pension, Flexible working/working from home, Amazing opportunities for training and progression, Prior commercial experience as a Cyber Security Engineer or Cyber Security Analyst, ideally within a similar SME-sized organisation, Hands-on experience in the management of IDS/IPS, Firewalls, VPN, EDR/XDR, mail filtering and other security products, Experience of Security Information Event Management (SIEM) tools, Any experience or knowledge of ISO27001 as well as with penetration testing/vulnerability scanning would be highly advantageous"
